// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 0080021020
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Enabled, Position/Velocity Smoother Enabled, Continuous Zero Rotation Update Enabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter,SampleTimeFine,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
35317,11723314,19378322,2020,11,10,7,36,14,0,1.790667,0.459476,9.832339,0.011567,-0.028136,-0.041991,1.246781,-2.440332,129.449585,31.314229349,121.238804594,15.763606,-1.680530,1.565696,-0.009152
35318,11723414,29378322,2020,11,10,7,36,14,0,1.712778,0.222108,9.559984,-0.000629,0.037945,-0.036246,1.248070,-2.436232,129.414185,31.314229493,121.238804434,15.763372,-1.689000,1.576782,-0.010187
35319,11723514,39378322,2020,11,10,7,36,14,0,1.319348,0.511524,9.982882,0.013871,-0.006042,-0.053056,1.256271,-2.418609,129.377930,31.314229638,121.238804273,15.763105,-1.692951,1.583396,-0.010030
35320,11723614,49378322,2020,11,10,7,36,14,0,1.868708,0.459602,9.564713,-0.002639,-0.005180,-0.039542,1.260380,-2.433280,129.342926,31.314229784,121.238804111,15.762906,-1.702348,1.592616,-0.010211
35321,11723714,59378322,2020,11,10,7,36,14,0,1.447867,0.262002,9.659121,0.010134,0.007545,-0.052005,1.263708,-2.421336,129.307770,31.314229931,121.238803949,15.762647,-1.707452,1.601899,-0.012202
35322,11723814,69378322,2020,11,10,7,36,14,0,1.797853,0.278771,9.548548,0.001527,0.006329,-0.042273,1.267701,-2.422997,129.270401,31.314230078,121.238803785,15.762463,-1.715039,1.612152,-0.013104
35323,11723914,79378322,2020,11,10,7,36,14,0,1.432752,0.362455,9.760785,0.008471,0.002251,-0.045358,1.273732,-2.414671,129.234436,31.314230226,121.238803620,15.762209,-1.720441,1.620925,-0.014150
35324,11724014,89378322,2020,11,10,7,36,14,0,1.738644,0.561038,9.504651,0.004836,0.012491,-0.042985,1.280295,-2.418592,129.194702,31.314230375,121.238803455,15.761957,-1.728596,1.630082,-0.015155
35325,11724114,99378322,2020,11,10,7,36,14,0,1.395267,0.331764,9.652569,0.013097,-0.010279,-0.047392,1.284071,-2.410441,129.159912,31.314230525,121.238803289,15.761735,-1.733952,1.637416,-0.017170
35326,11723117,999684322,2020,11,10,7,36,13,0,,,,,,,,,,,,,,,
35327,11723117,999682230,2020,11,10,7,36,13,0,,,,,,,,,,,,,,,
35328,11724214,109376230,2020,11,10,7,36,14,0,1.994541,0.431599,9.457813,-0.012152,-0.005247,-0.046095,1.286218,-2.425107,129.120041,31.314230675,121.238803121,15.761411,-1.743371,1.647257,-0.018468
35329,11724314,119376230,2020,11,10,7,36,14,0,1.187661,0.323629,9.583971,0.011659,0.034017,-0.050259,1.289667,-2.402996,129.086166,31.314230940,121.238802817,15.760885,-1.754457,1.664108,-0.025009
35330,11724414,129376230,2020,11,10,7,36,14,0,1.973470,0.475095,9.426388,0.005320,-0.030759,-0.041820,1.294849,-2.415345,129.048264,31.314231095,121.238802645,15.760612,-1.762699,1.673517,-0.026007
